Date,Open,High,Low,Close,Adj Close,Volume,Day,Day of the week
8/14/2013,2.08,2.2,2.08,2.19,2.19,263500,4,Wednesday
8/15/2013,2.19,2.24,2.08,2.17,2.17,194200,5,Thursday
8/16/2013,2.23,2.23,2.1,2.1,2.1,117300,6,Friday
8/19/2013,2.1,2.22,2.06,2.18,2.18,184400,2,Monday
8/20/2013,2.18,2.21,2.16,2.16,2.16,69700,3,Tuesday
8/21/2013,2.16,2.18,2.04,2.04,2.04,173800,4,Wednesday
8/22/2013,2.06,2.13,2.02,2.06,2.06,138800,5,Thursday
8/23/2013,2.08,2.15,2.07,2.12,2.12,100300,6,Friday
8/26/2013,2.18,2.19,1.91,2.15,2.15,381900,2,Monday
8/27/2013,2.17,2.19,2.05,2.09,2.09,171800,3,Tuesday
8/28/2013,2.07,2.12,2.04,2.08,2.08,123000,4,Wednesday
8/29/2013,2.03,2.09,2.01,2.05,2.05,118300,5,Thursday
8/30/2013,2.04,2.05,1.95,2.01,2.01,370600,6,Friday
9/3/2013,2.02,2.1,2.01,2.09,2.09,123200,3,Tuesday
9/4/2013,2.07,2.22,2.06,2.21,2.21,368300,4,Wednesday
9/5/2013,2.2,2.24,2.1,2.11,2.11,97800,5,Thursday
9/6/2013,2.14,2.22,2.14,2.18,2.18,152900,6,Friday
9/9/2013,2.21,2.36,2.15,2.33,2.33,166900,2,Monday
9/10/2013,2.3,2.35,2.23,2.28,2.28,228700,3,Tuesday
9/11/2013,2.26,2.29,2.19,2.28,2.28,97400,4,Wednesday
9/12/2013,2.21,2.25,2.2,2.22,2.22,67300,5,Thursday
9/13/2013,2.21,2.31,2.17,2.22,2.22,80200,6,Friday
9/16/2013,1.66,1.66,1.33,1.49,1.49,4131200,2,Monday
9/17/2013,1.49,1.5,1.45,1.5,1.5,569900,3,Tuesday
9/18/2013,1.48,1.55,1.45,1.53,1.53,511300,4,Wednesday
9/19/2013,1.51,1.52,1.45,1.5,1.5,588000,5,Thursday
9/20/2013,1.5,1.5,1.36,1.38,1.38,676600,6,Friday
9/23/2013,1.44,1.44,1.32,1.34,1.34,378400,2,Monday
9/24/2013,1.32,1.41,1.31,1.35,1.35,273200,3,Tuesday
9/25/2013,1.36,1.42,1.35,1.39,1.39,209300,4,Wednesday
9/26/2013,1.42,1.49,1.42,1.44,1.44,169200,5,Thursday
9/27/2013,1.48,1.49,1.45,1.45,1.45,116600,6,Friday
9/30/2013,1.47,1.48,1.45,1.46,1.46,211100,2,Monday
10/1/2013,1.48,1.69,1.48,1.64,1.64,682400,3,Tuesday
10/2/2013,1.62,1.93,1.62,1.77,1.77,784200,4,Wednesday
10/3/2013,1.81,1.81,1.65,1.66,1.66,320100,5,Thursday
10/4/2013,1.67,1.72,1.5,1.61,1.61,391300,6,Friday
10/7/2013,1.59,1.61,1.53,1.55,1.55,191400,2,Monday
10/8/2013,1.53,1.56,1.46,1.47,1.47,230000,3,Tuesday
10/9/2013,1.46,1.5,1.44,1.47,1.47,167200,4,Wednesday
10/10/2013,1.48,1.55,1.47,1.47,1.47,190100,5,Thursday
10/11/2013,1.46,1.51,1.43,1.43,1.43,106500,6,Friday
10/14/2013,1.43,1.51,1.43,1.43,1.43,118700,2,Monday
10/15/2013,1.44,1.5,1.42,1.44,1.44,245400,3,Tuesday
10/16/2013,1.43,1.5,1.41,1.43,1.43,127500,4,Wednesday
10/17/2013,1.45,1.52,1.45,1.48,1.48,124100,5,Thursday
10/18/2013,1.49,1.5,1.43,1.47,1.47,131200,6,Friday
10/21/2013,1.48,1.48,1.43,1.43,1.43,75200,2,Monday
10/22/2013,1.47,1.49,1.43,1.49,1.49,103100,3,Tuesday
10/23/2013,1.48,1.49,1.43,1.49,1.49,123600,4,Wednesday
10/24/2013,1.49,1.61,1.49,1.57,1.57,204300,5,Thursday
10/25/2013,1.56,1.56,1.48,1.5,1.5,149300,6,Friday
10/28/2013,1.48,1.48,1.43,1.44,1.44,266800,2,Monday
10/29/2013,1.45,1.47,1.4,1.43,1.43,267000,3,Tuesday
10/30/2013,1.44,1.44,1.36,1.39,1.39,258600,4,Wednesday
10/31/2013,1.37,1.4,1.35,1.35,1.35,179100,5,Thursday
11/1/2013,1.35,1.35,1.33,1.35,1.35,165200,6,Friday
11/4/2013,1.35,1.35,1.26,1.34,1.34,284600,2,Monday
11/5/2013,1.33,1.38,1.29,1.36,1.36,258500,3,Tuesday
11/6/2013,1.36,1.41,1.35,1.39,1.39,325400,4,Wednesday
11/7/2013,1.38,1.39,1.34,1.35,1.35,161100,5,Thursday
11/8/2013,1.35,1.37,1.31,1.34,1.34,111000,6,Friday
11/11/2013,1.33,1.4,1.32,1.35,1.35,65400,2,Monday
11/12/2013,1.37,1.39,1.3,1.34,1.34,192200,3,Tuesday
11/13/2013,1.36,1.39,1.32,1.32,1.32,119600,4,Wednesday
11/14/2013,1.34,1.36,1.3,1.3,1.3,210700,5,Thursday
11/15/2013,1.3,1.32,1.23,1.23,1.23,438200,6,Friday
11/18/2013,1.23,1.3,1.23,1.26,1.26,310100,2,Monday
11/19/2013,1.24,1.28,1.2,1.21,1.21,158100,3,Tuesday
11/20/2013,1.19,1.2,1.06,1.1,1.1,519300,4,Wednesday
11/21/2013,1.09,1.13,1.07,1.13,1.13,442500,5,Thursday
11/22/2013,1.12,1.16,1.1,1.1,1.1,453400,6,Friday
11/25/2013,1.1,1.15,1.1,1.11,1.11,235400,2,Monday
11/26/2013,1.12,1.21,1.09,1.15,1.15,1157100,3,Tuesday
11/27/2013,1.18,1.21,1.15,1.15,1.15,136300,4,Wednesday
11/29/2013,1.18,1.19,1.16,1.18,1.18,134700,6,Friday
12/2/2013,1.15,1.19,1.13,1.13,1.13,185700,2,Monday
12/3/2013,1.13,1.16,1.1,1.12,1.12,266100,3,Tuesday
12/4/2013,1.13,1.17,1.1,1.11,1.11,190600,4,Wednesday
12/5/2013,1.13,1.14,1.1,1.14,1.14,260800,5,Thursday
12/6/2013,1.16,1.16,1.13,1.13,1.13,122100,6,Friday
12/9/2013,1.12,1.15,1.12,1.12,1.12,99900,2,Monday
12/10/2013,1.16,1.18,1.1,1.13,1.13,258600,3,Tuesday
12/11/2013,1.11,1.13,1.05,1.09,1.09,515500,4,Wednesday
12/12/2013,1.09,1.12,1,1.03,1.03,628000,5,Thursday
12/13/2013,1.06,1.16,1.06,1.14,1.14,489400,6,Friday
12/16/2013,1.18,1.29,1.17,1.23,1.23,462600,2,Monday
12/17/2013,1.24,1.27,1.21,1.27,1.27,168100,3,Tuesday
12/18/2013,1.27,1.33,1.2,1.3,1.3,235100,4,Wednesday
12/19/2013,1.3,1.39,1.28,1.36,1.36,464400,5,Thursday
12/20/2013,1.36,1.68,1.36,1.63,1.63,1121000,6,Friday
12/23/2013,1.5,1.65,1.27,1.34,1.34,1856000,2,Monday
12/24/2013,1.31,1.36,1.3,1.33,1.33,338500,3,Tuesday
12/26/2013,1.33,1.35,1.2,1.2,1.2,446000,5,Thursday
12/27/2013,1.3,1.3,1.22,1.22,1.22,413700,6,Friday
12/30/2013,1.22,1.3,1.22,1.26,1.26,440500,2,Monday
12/31/2013,1.3,1.33,1.28,1.28,1.28,299100,3,Tuesday
1/2/2014,1.3,1.38,1.3,1.35,1.35,277900,5,Thursday
1/3/2014,1.35,1.48,1.35,1.43,1.43,340500,6,Friday
1/6/2014,1.43,1.46,1.38,1.38,1.38,201900,2,Monday
1/7/2014,1.38,1.4,1.33,1.33,1.33,162400,3,Tuesday
1/8/2014,1.35,1.36,1.28,1.33,1.33,213000,4,Wednesday
1/9/2014,1.31,1.33,1.29,1.31,1.31,98900,5,Thursday
1/10/2014,1.28,1.34,1.27,1.34,1.34,226800,6,Friday
1/13/2014,1.33,1.4,1.32,1.4,1.4,292000,2,Monday
1/14/2014,1.4,1.43,1.38,1.4,1.4,218000,3,Tuesday
1/15/2014,1.39,1.4,1.36,1.38,1.38,204200,4,Wednesday
1/16/2014,1.38,1.4,1.34,1.39,1.39,243000,5,Thursday
1/17/2014,1.4,1.41,1.38,1.39,1.39,472400,6,Friday
1/21/2014,1.39,1.4,1.34,1.38,1.38,408200,3,Tuesday
1/22/2014,1.4,1.4,1.33,1.38,1.38,142600,4,Wednesday
1/23/2014,1.33,1.44,1.31,1.37,1.37,713600,5,Thursday
1/24/2014,1.35,1.4,1.3,1.38,1.38,315200,6,Friday
1/27/2014,1.38,1.39,1.34,1.37,1.37,145300,2,Monday
1/28/2014,1.36,1.4,1.34,1.39,1.39,157200,3,Tuesday
1/29/2014,1.4,1.42,1.36,1.41,1.41,89600,4,Wednesday
1/30/2014,1.4,1.4,1.37,1.38,1.38,133900,5,Thursday
1/31/2014,1.36,1.38,1.34,1.35,1.35,185500,6,Friday
2/3/2014,1.34,1.38,1.26,1.3,1.3,407400,2,Monday
2/4/2014,1.32,1.33,1.28,1.3,1.3,218800,3,Tuesday
2/5/2014,1.32,1.32,1.26,1.29,1.29,197700,4,Wednesday
2/6/2014,1.25,1.3,1.25,1.28,1.28,654900,5,Thursday
2/7/2014,1.27,1.31,1.26,1.27,1.27,238100,6,Friday
2/10/2014,1.27,1.39,1.27,1.35,1.35,399400,2,Monday
2/11/2014,1.34,1.41,1.31,1.39,1.39,218100,3,Tuesday
2/12/2014,1.4,1.41,1.37,1.39,1.39,213300,4,Wednesday
2/13/2014,1.37,1.41,1.36,1.4,1.4,240100,5,Thursday
2/14/2014,1.41,1.46,1.39,1.45,1.45,400600,6,Friday
2/18/2014,1.48,1.68,1.46,1.64,1.64,712000,3,Tuesday
2/19/2014,1.66,1.7,1.6,1.62,1.62,610900,4,Wednesday
2/20/2014,1.6,1.63,1.57,1.61,1.61,148100,5,Thursday
